iter	Passed	Remaining
588	36343	25359
589	36406	25299
590	36466	25236
591	36528	25175
592	36592	25114
593	36652	25052
594	36715	24991
595	36777	24929
596	36846	24872
597	36908	24811
598	36969	24749
599	37027	24685
600	37092	24625
601	37156	24565
602	37218	24503
603	37280	24442
604	37347	24384
605	37410	24323
606	37472	24261
607	37536	24201
608	37595	24137
609	37658	24076
610	37721	24015
611	37781	23952
612	37849	23895
613	37908	23831
614	37968	23769
615	38031	23708
616	38090	23644
617	38152	23582
618	38211	23519
619	38270	23456
620	38337	23397
621	38401	23336
622	38462	23275
623	38524	23213
624	38584	23150
625	38646	23088
626	38705	23025
627	38766	22963
628	38827	22901
629	38887	22838
630	38952	22778
631	39016	22718
632	39076	22655
633	39139	22594
634	39204	22534
635	39260	22470
636	39321	22407
637	39384	22346
638	39445	22284
639	39506	22222
640	39570	22162
641	39634	22101
642	39696	22040
643	39758	21978
644	39813	21913
645	39874	21850
646	39939	21790
647	40000	21728
648	40062	21666
649	40124	21605
650	40184	21542
651	40244	21480
652	40302	21416
653	40361	21353
654	40420	21289
655	40480	21227
656	40541	21165
657	40603	21104
658	40661	21040
659	40720	20977
660	40779	20914
661	40841	20852
662	40906	20792
663	40968	20731
664	41027	20667
665	41091	20607
666	41153	20545
667	41219	20486
668	41282	20425
669	41343	20363
670	41404	20301
671	41467	20239
672	41532	20179
673	41591	20116
674	41657	20057
675	41718	19995
676	41780	19933
677	41840	19871
678	41902	19809
679	41964	19748
680	42029	19687
681	42090	19625
682	42151	19563
683	42207	19499
684	42267	19436
685	42330	19375
686	42392	19314
687	42454	19252
688	42514	19190
689	42573	19127
690	42638	19066
691	42696	19003
692	42761	18943
693	42820	18880
694	42880	18818
695	42942	18756
696	43008	18696
697	43074	18636
698	43132	18573
699	43190	18510
700	43252	18448
701	43314	18387
702	43378	18326
703	43442	18265
704	43508	18205
705	43571	18144
706	43632	18082
707	43688	18018
708	43746	17955
709	43808	17893
710	43867	17830
711	43930	17769
712	43991	17707
713	44056	17647
714	44122	17587
715	44187	17526
716	44250	17465
717	44315	17405
718	44376	17343
719	44436	17280
720	44499	17219
721	44567	17160
722	44626	17097
723	44692	17037
724	44753	16975
725	44812	16912
726	44873	16850
727	44938	16790
728	45003	16729
729	45068	16669
730	45136	16609
731	45198	16547
732	45256	16484
733	45320	16424
734	45380	16361
735	45445	16301
736	45512	16241
737	45572	16179
738	45630	16115
739	45696	16055
740	45756	15993
741	45817	15931
742	45883	15870
743	45951	15811
744	46012	15749
745	46077	15688
746	46138	15626
747	46198	15564
748	46256	15501
749	46318	15439
750	46379	15377
751	46447	15317
752	46508	15255
753	46569	15193
754	46635	15133
755	46695	15070
756	46761	15010
757	46822	14948
758	46885	14887
759	46944	14824
760	47009	14763
761	47067	14701
762	47127	14638
763	47189	14576
764	47252	14515
765	47314	14453
766	47382	14393
767	47442	14331
768	47503	14269
769	47568	14208
770	47628	14146
771	47691	14084
772	47750	14022
773	47814	13961
774	47875	13899
775	47936	13837
776	47994	13774
777	48058	13713
778	48116	13650
779	48176	13588
780	48240	13527
781	48307	13466
782	48368	13404
783	48435	13344
784	48495	13282
785	48563	13222
786	48627	13160
787	48692	13099
788	48754	13038
789	48816	12976
790	48880	12915
791	48941	12853
792	49000	12790
793	49067	12730
794	49127	12668
795	49189	12606
796	49254	12545
797	49318	12484
798	49384	12423
799	49447	12361
800	49506	12299
801	49564	12236
802	49632	12176
803	49691	12113
804	49754	12052
805	49818	11990
806	49881	11929
807	49945	11868
808	50003	11805
809	50063	11743
810	50124	11681
811	50189	11620
812	50248	11557
813	50313	11496
814	50379	11435
815	50442	11374
816	50509	11313
817	50568	11251
818	50635	11190
819	50701	11129
820	50766	11068
821	50830	11007
822	50890	10944
823	50953	10883
824	51011	10820
825	51073	10758
826	51138	10697
827	51200	10635
828	51265	10574
829	51328	10513
830	51390	10451
831	51456	10390
832	51523	10329
833	51583	10267
834	51647	10205
835	51713	10144
836	51777	10083
837	51839	10021
838	51905	9960
839	51966	9898
840	52034	9837
841	52095	9775
842	52154	9713
843	52216	9651
844	52277	9589
845	52339	9527
846	52403	9465
847	52467	9404
848	52530	9342
849	52594	9281
850	52657	9219
851	52723	9158
852	52783	9096
853	52846	9034
854	52908	8972
855	52970	8910
856	53028	8848
857	53096	8787
858	53158	8725
859	53222	8664
860	53291	8603
861	53352	8541
862	53416	8479
863	53483	8418
864	53545	8356
865	53611	8295
866	53674	8233
867	53743	8173
868	53802	8110
869	53864	8048
870	53935	7988
871	53997	7926
872	54057	7863
873	54121	7802
874	54188	7741
875	54255	7679
876	54315	7617
877	54379	7556
878	54443	7494
879	54507	7432
880	54573	7371
881	54635	7309
882	54698	7247
883	54761	7185
884	54826	7124
885	54892	7062
886	54955	7001
887	55017	6939
888	55085	6877
889	55147	6815
890	55212	6754
891	55272	6692
892	55332	6629
893	55394	6567
894	55454	6505
895	55516	6443
896	55577	6381
897	55638	6319
898	55698	6257
899	55761	6195
900	55824	6133
901	55882	6071
902	55945	6009
903	56012	5948
904	56075	5886
905	56138	5824
906	56202	5762
907	56263	5700
908	56324	5638
909	56386	5576
910	56453	5515
911	56517	5453
912	56579	5391
913	56639	5329
914	56705	5267
915	56765	5205
916	56829	5143
917	56889	5081
918	56955	5020
919	57012	4957
920	57075	4895
921	57135	4833
922	57195	4771
923	57256	4709
924	57326	4648
925	57392	4586
926	57452	4524
927	57518	4462
928	57579	4400
929	57639	4338
930	57698	4276
931	57759	4214
932	57817	4151
933	57882	4090
934	57941	4028
935	58006	3966
936	58072	3904
937	58141	3843
938	58207	3781
939	58273	3719
940	58331	3657
941	58396	3595
942	58458	3533
943	58524	3471
944	58585	3409
945	58659	3348
946	58720	3286
947	58780	3224
948	58846	3162
949	58908	3100
950	58978	3038
951	59040	2976
952	59114	2915
953	59183	2853
954	59248	2791
955	59310	2729
956	59369	2667
957	59434	2605
958	59496	2543
959	59558	2481
960	59624	2419
961	59685	2357
962	59751	2295
963	59813	2233
964	59873	2171
965	59931	2109
966	59991	2047
967	60046	1984
968	60104	1922
969	60165	1860
970	60227	1798
971	60286	1736
972	60353	1674
